"","MUNICIPIO","iteracion","ranking"
"563","Mixquiahuala","Km,4",27
"564","Mixquiahuala","Km,6",27
"565","Mixquiahuala","Km,8",26
"566","Mixquiahuala","km,10",27
"567","Mixquiahuala","km,12",27
"568","Mixquiahuala","km,14",27
"569","Mixquiahuala","km,16",27
"570","Mixquiahuala","km,18",26
"571","Mixquiahuala","km,20",26
"572","Mixquiahuala","km,22",26
"573","Mixquiahuala","km,24",26
"574","Mixquiahuala","km,26",26
"575","Molango","Km,0",49
"576","Molango","Km,2",69
"577","Molango","Km,4",68
"578","Molango","Km,6",68
"579","Molango","Km,8",68
"580","Molango","km,10",68
"581","Molango","km,12",68
"582","Molango","km,14",68
"583","Molango","km,16",68
"584","Molango","km,18",68
"585","Molango","km,20",68
"586","Molango","km,22",68
"587","Molango","km,24",68
"588","Molango","km,26",68
"589","Nicolas Flores","Km,0",69
"590","Nicolas Flores","Km,2",55
"591","Nicolas Flores","Km,4",57
"592","Nicolas Flores","Km,6",57
"593","Nicolas Flores","Km,8",56
"594","Nicolas Flores","km,10",56
"595","Nicolas Flores","km,12",56
"596","Nicolas Flores","km,14",56
"597","Nicolas Flores","km,16",56
"598","Nicolas Flores","km,18",56
"599","Nicolas Flores","km,20",56
"600","Nicolas Flores","km,22",56
"601","Nicolas Flores","km,24",56
"602","Nicolas Flores","km,26",56
"603","Nopala","Km,0",59
"604","Nopala","Km,2",11
"605","Nopala","Km,4",9
"606","Nopala","Km,6",9
"607","Nopala","Km,8",10
"608","Nopala","km,10",12
"609","Nopala","km,12",12
"610","Nopala","km,14",12
"611","Nopala","km,16",12
"612","Nopala","km,18",12
"613","Nopala","km,20",12
"614","Nopala","km,22",12
"615","Nopala","km,24",12
"616","Nopala","km,26",12
"617","SFO","Km,0",50
"618","SFO","Km,2",52
"619","SFO","Km,4",52
"620","SFO","Km,6",52
"621","SFO","Km,8",54
"622","SFO","km,10",54
"623","SFO","km,12",54
"624","SFO","km,14",54
"625","SFO","km,16",54
"626","SFO","km,18",54
"627","SFO","km,20",54
"628","SFO","km,22",54
"629","SFO","km,24",54
"630","SFO","km,26",54
"631","Pacula","Km,0",83
"632","Pacula","Km,2",72
"633","Pacula","Km,4",66
"634","Pacula","Km,6",66
"635","Pacula","Km,8",63
"636","Pacula","km,10",62
"637","Pacula","km,12",61
"638","Pacula","km,14",61
"639","Pacula","km,16",61
"640","Pacula","km,18",60
"641","Pacula","km,20",60
"642","Pacula","km,22",60
"643","Pacula","km,24",60
"644","Pacula","km,26",60
"645","Pachuca","Km,0",1
"646","Pachuca","Km,2",2
"647","Pachuca","Km,4",3
"648","Pachuca","Km,6",3
"649","Pachuca","Km,8",5
"650","Pachuca","km,10",5
"651","Pachuca","km,12",5
"652","Pachuca","km,14",5
"653","Pachuca","km,16",5
"654","Pachuca","km,18",5
"655","Pachuca","km,20",6
"656","Pachuca","km,22",6
"657","Pachuca","km,24",6
"658","Pachuca","km,26",6
"659","Pisaflores","Km,0",60
"660","Pisaflores","Km,2",74
"661","Pisaflores","Km,4",72
